ID,Hashrate,Reward
783,228276,4
784,356620,6
785,120684,5
786,284317,5
787,172101,4
788,299124,5
789,250768,2
790,468930,11
791,352570,4
792,226278,4
793,165785,2
794,158560,3
795,323652,4
796,301821,5
797,407751,4
798,359601,6
799,408417,2
800,339755,6
801,316379,3
802,290881,5
803,371912,7
804,303511,3
805,435722,10
806,316946,7
807,279955,6
808,263408,6
809,330917,9
810,360893,6
811,338532,4
812,310098,4
813,194304,0
814,194434,1
815,304152,4
816,369488,2
817,264797,0
818,210618,3
819,364260,9
820,460440,5
821,268962,3
822,402596,5
823,130981,2
824,151264,5
825,227227,4
826,383530,8
827,265143,3
828,352368,6
829,343101,5
830,231752,2
831,302032,9
832,373932,9
833,246932,1
834,346903,7
835,226825,3
836,293732,6
837,470248,6
838,342292,10
839,533431,5
840,347019,5
841,294356,3
842,307050,3
843,374427,5
844,343213,4
845,526769,8
846,373304,3
847,291313,5
848,203960,6
849,291163,7
850,475154,5
851,265395,5
852,332943,3
853,296087,6
854,243009,2
855,305449,5
856,286073,1
857,184366,4
858,222320,4
859,266160,3
860,112460,0
861,157098,4
862,387997,7
863,417441,7
864,384041,8
865,168695,2
866,371575,5
867,388741,5
868,388001,4
869,271836,2
870,281330,5
871,401728,5
872,226029,4
873,288319,5
874,288884,4
875,424526,5
876,302192,5
877,284181,2
878,437392,6
879,237188,2
880,363381,4
881,358687,5
882,169633,2
883,262390,4
884,339809,6
885,233554,2
886,343896,3
887,384397,4
888,388456,5
889,226688,3
890,308828,5
891,195538,3
892,379264,7
893,135883,2
894,360020,7
895,287992,3
896,293340,5
897,400672,4
898,219840,2
899,378239,7
900,419680,8
901,153287,1
902,364158,6
903,402979,7
904,338781,2
905,185238,2
906,213353,6
907,268691,5
908,369896,8
909,339572,6
910,202312,1
911,281081,2
912,49227,0
913,474536,7
914,273503,8
915,140329,1
916,486684,5
917,416215,9
918,348390,6
919,348530,5
920,341968,8
921,369942,7
922,388314,7
923,234114,2
924,298270,6
925,443125,10
926,300463,3
927,327050,4
928,281367,8
929,354684,5
930,188809,4
931,119196,1
932,404509,2
933,429869,2
934,276455,7
935,260949,6
936,281224,3
937,265251,5
938,482938,4
939,343690,0
940,170670,1
941,299165,7
942,272410,2
943,345483,6
944,166937,3
945,78647,0
946,391713,5
947,179436,1
948,186442,2
949,266795,1
950,344005,8
951,233498,4
952,305252,5
953,384116,4
954,391041,8
955,356900,6
956,146305,1
957,410143,5
958,252942,3
959,282232,6
960,310917,8
961,273104,5
962,380760,1
963,329561,4
964,359995,3
965,236573,5
966,374145,2
967,373675,2
968,253491,2
969,216130,2
970,386386,3
971,315700,6
972,178918,1
973,197216,2
974,233301,4
975,143981,3
976,285854,7
977,265432,5
978,243514,2
979,304224,5
980,302674,1
981,522237,8
982,414406,7
983,341729,6
984,346062,10
985,190096,3
986,367672,3
987,410344,5
988,242802,2
989,173481,5
990,194071,3
991,296194,7
992,450694,5
993,315737,2
994,266181,2
995,348335,4
996,278149,7
997,515809,4
998,199228,2
999,399396,9
